Fund Holdings as of,"27 mar. 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"HO","THALES SA","Bens Industriais","Equity","27 578 319,60","0,20","27 578 319,60","115 924,00","237,90","França","Nyse Euronext - Euronext Paris","EUR"
"ADS","ADIDAS N AG","Consumo discricionário","Equity","27 559 891,40","0,20","27 559 891,40","208 708,00","132,05","Alemanha","Xetra","EUR"
"BMW","BMW AG","Consumo discricionário","Equity","27 445 061,90","0,20","27 445 061,90","352 855,00","77,78","Alemanha","Xetra","EUR"
"SAMPO","SAMPO CLASS A","Produtos financeiros","Equity","27 314 473,13","0,19","27 314 473,13","3 010 191,00","9,07","Finlândia","Nasdaq Omx Helsinki Ltd.","EUR"
"AMS","AMADEUS IT GROUP SA","Consumo discricionário","Equity","26 675 325,00","0,19","26 675 325,00","548 875,00","48,60","Espanha","Bolsa De Madrid","EUR"
"SIKA","SIKA AG","Materiais","Equity","26 311 054,70","0,19","26 311 054,70","188 003,00","139,95","Suíça","SIX Swiss Exchange","CHF"
"ADYEN","ADYEN NV","Produtos financeiros","Equity","26 201 398,50","0,19","26 201 398,50","30 627,00","855,50","Holanda","Euronext Amsterdam","EUR"
"RYA","RYANAIR HOLDINGS PLC","Bens Industriais","Equity","25 956 536,15","0,19","25 956 536,15","1 054 715,00","24,61","Irlanda","Irish Stock Exchange - All Market","EUR"
"AV.","AVIVA PLC","Produtos financeiros","Equity","25 391 524,05","0,18","25 391 524,05","3 709 123,00","6,85","Reino Unido","London Stock Exchange","GBP"
"ATCO B","ATLAS COPCO CLASS B","Bens Industriais","Equity","24 960 759,37","0,18","24 960 759,37","1 909 480,00","13,07","Suécia","Nasdaq Omx Nordic","SEK"
"PGHN","PARTNERS GROUP HOLDING AG","Produtos financeiros","Equity","24 738 435,12","0,18","24 738 435,12","27 546,00","898,08","Suíça","SIX Swiss Exchange","CHF"
"VIE","VEOLIA ENVIRON. SA","Serviços públicos","Equity","24 547 823,16","0,18","24 547 823,16","770 007,00","31,88","França","Nyse Euronext - Euronext Paris","EUR"
"GEBN","GEBERIT AG","Bens Industriais","Equity","24 359 670,89","0,17","24 359 670,89","42 011,00","579,84","Suíça","SIX Swiss Exchange","CHF"
"DTG","DAIMLER TRUCK HOLDING E AG","Bens Industriais","Equity","24 194 224,80","0,17","24 194 224,80","592 560,00","40,83","Alemanha","Xetra","EUR"
"ML","MICHELIN","Consumo discricionário","Equity","24 051 121,00","0,17","24 051 121,00","829 349,00","29,00","França","Nyse Euronext - Euronext Paris","EUR"
"AER","AERCAP HOLDINGS NV","Bens Industriais","Equity","23 993 812,20","0,17","23 993 812,20","207 243,00","115,78","Holanda","New York Stock Exchange Inc.","USD"
